index,section_id,direction,point_time,traffic_flow_total,avg_speed_car,time_calc,if_next_time,hour_minutes_sin,hour_minutes_cos
3854415,G1001-5,上行,2021-01-01 00:15:00,33,98,20210101001500,1,0.0196336924606283,0.9998072404820648
4613565,G1001-5,上行,2021-01-01 00:30:00,43,98,20210101003000,1,0.03925981575906861,0.9992290362407229
7597876,G1001-5,上行,2021-01-01 00:45:00,48,97,20210101004500,1,0.05887080365118903,0.9982656101847159
7539331,G1001-5,上行,2021-01-01 01:00:00,41,92,20210101010000,1,0.1305261922200516,0.9914448613738104
1543319,G1001-5,上行,2021-01-01 01:15:00,32,98,20210101011500,1,0.149966755554045,0.9886910398241674
3336070,G1001-5,上行,2021-01-01 01:30:00,31,100,20210101013000,1,0.16934950384902459,0.9855560590580777
4957479,G1001-5,上行,2021-01-01 01:45:00,31,100,20210101014500,1,0.18866696468655522,0.9820411276703039
8265462,G1001-5,上行,2021-01-01 02:00:00,18,100,20210101020000,1,0.2588190451025208,0.9659258262890683
906166,G1001-5,上行,2021-01-01 02:15:00,21,100,20210101021500,1,0.2777338458812922,0.9606580613579353
3121901,G1001-5,上行,2021-01-01 02:30:00,29,97,20210101023000,1,0.296541574975571,0.9550199444571866
4487358,G1001-5,上行,2021-01-01 02:45:00,23,100,20210101024500,1,0.31523498164776964,0.949013649188214
1704076,G1001-5,上行,2021-01-01 03:00:00,8,100,20210101030000,1,0.3826834323650898,0.9238795325112867
608768,G1001-5,上行,2021-01-01 03:15:00,17,100,20210101031500,1,0.40074883310314097,0.916187957117136
8351583,G1001-5,上行,2021-01-01 03:30:00,25,96,20210101033000,1,0.418659737537428,0.9081431738250814
7577449,G1001-5,上行,2021-01-01 03:45:00,25,96,20210101034500,1,0.43640924067334214,0.8997482840522214
1570664,G1001-5,上行,2021-01-01 04:00:00,26,100,20210101040000,1,0.5,0.8660254037844386
1310457,G1001-5,上行,2021-01-01 04:15:00,20,100,20210101041500,1,0.5169068966820275,0.8560416229147715
6001484,G1001-5,上行,2021-01-01 04:30:00,21,97,20210101043000,1,0.5336145159156115,0.8457278217039733
3282959,G1001-5,上行,2021-01-01 04:45:00,43,95,20210101044500,1,0.5501164165954933,0.8350879763187431
3595930,G1001-5,上行,2021-01-01 05:00:00,35,97,20210101050000,1,0.6087614290087205,0.7933533402912353
1210677,G1001-5,上行,2021-01-01 05:15:00,44,96,20210101051500,1,0.6242205399450177,0.7812481792047585
5835188,G1001-5,上行,2021-01-01 05:30:00,45,94,20210101053000,1,0.6394390019805848,0.7688418320734595
187484,G1001-5,上行,2021-01-01 05:45:00,47,96,20210101054500,1,0.6544109481086103,0.7561390817803227
182593,G1001-5,上行,2021-01-01 06:00:00,56,97,20210101060000,1,0.7071067811865476,0.7071067811865476
1150703,G1001-5,上行,2021-01-01 06:15:00,48,95,20210101061500,1,0.7208535967029188,0.6930873625456359
8201161,G1001-5,上行,2021-01-01 06:30:00,33,100,20210101063000,1,0.7343225094356856,0.6788007455329418
4145288,G1001-5,上行,2021-01-01 06:45:00,3,100,20210101064500,1,0.7475083268625967,0.6642524379112817
3354445,G1001-5,上行,2021-01-01 07:00:00,15,100,20210101070000,1,0.7933533402912352,0.6087614290087207
3857953,G1001-5,上行,2021-01-01 07:15:00,2,100,20210101071500,1,0.8051526485628583,0.5930676289532371
5420902,G1001-5,上行,2021-01-01 07:30:00,7,100,20210101073000,1,0.8166415551616789,0.5771451900372336
3962230,G1001-5,上行,2021-01-01 07:45:00,1,100,20210101074500,1,0.8278156308955021,0.5610002506640098
3604542,G1001-5,上行,2021-01-01 08:00:00,7,100,20210101080000,1,0.8660254037844387,0.4999999999999999
3716796,G1001-5,上行,2021-01-01 08:15:00,1,100,20210101081500,1,0.8756753153753997,0.4829003438000373
8462046,G1001-5,上行,2021-01-01 08:30:00,10,100,20210101083000,1,0.8849876374630418,0.4656145203251115
3423297,G1001-5,上行,2021-01-01 08:45:00,12,100,20210101084500,1,0.8939587799699321,0.44814919358922256
4022826,G1001-5,上行,2021-01-01 09:00:00,19,100,20210101090000,1,0.9238795325112867,0.38268343236508984
5882486,G1001-5,上行,2021-01-01 09:15:00,13,100,20210101091500,1,0.9312149347588035,0.3644704998791498
1712896,G1001-5,上行,2021-01-01 09:30:00,16,100,20210101093000,1,0.9381913359224842,0.346117057077493
3262466,G1001-5,上行,2021-01-01 09:45:00,36,98,20210101094500,1,0.9448060464668779,0.32763017956169366
3804154,G1001-5,上行,2021-01-01 10:00:00,22,96,20210101100000,1,0.9659258262890682,0.25881904510252096
7793529,G1001-5,上行,2021-01-01 10:15:00,18,95,20210101101500,1,0.9708212084269281,0.2398044646550164
5186530,G1001-5,上行,2021-01-01 10:30:00,3,100,20210101103000,1,0.9753423205085127,0.22069743502150108
7479583,G1001-5,上行,2021-01-01 10:45:00,22,100,20210101104500,1,0.9794874195590514,0.20150532232561721
3595845,G1001-5,上行,2021-01-01 11:00:00,6,100,20210101110000,1,0.9914448613738104,0.1305261922200515
